사용월,호선명,역ID,지하철역,승차승객수,하차승객수,작업일시
2022-03,1호선,150,서울역,984646,949974,2022-04-03 9:19
2022-03,1호선,151,시청,500905,503869,2022-04-03 9:19
2022-03,1호선,152,종각,762319,734308,2022-04-03 9:19
2022-03,1호선,153,종로3가,612391,562830,2022-04-03 9:19
2022-03,1호선,154,종로5가,549656,544757,2022-04-03 9:19
2022-03,1호선,155,동대문,288291,271656,2022-04-03 9:19
2022-03,1호선,156,신설동,342134,332894,2022-04-03 9:19
2022-03,1호선,157,제기동,430367,440351,2022-04-03 9:19
2022-03,1호선,158,청량리(서울시립대입구),510145,508653,2022-04-03 9:19
2022-03,1호선,159,동묘앞,236879,248649,2022-04-03 9:19
2022-03,2호선,201,시청,500336,475651,2022-04-03 9:19
2022-03,2호선,202,을지로입구,855938,875572,2022-04-03 9:19
2022-03,2호선,203,을지로3가,487174,484276,2022-04-03 9:19
2022-03,2호선,204,을지로4가,294577,294509,2022-04-03 9:19
2022-03,2호선,205,동대문역사문화공원(DDP),305405,346078,2022-04-03 9:19
2022-03,2호선,206,신당,345606,357064,2022-04-03 9:19
2022-03,2호선,207,상왕십리,344008,336446,2022-04-03 9:19
2022-03,2호선,208,왕십리(성동구청),422484,344699,2022-04-03 9:19
2022-03,2호선,209,한양대,328071,362799,2022-04-03 9:19
2022-03,2호선,210,뚝섬,512950,547133,2022-04-03 9:19
2022-03,2호선,211,성수,861490,941707,2022-04-03 9:19
2022-03,2호선,212,건대입구,933261,981387,2022-04-03 9:19
2022-03,2호선,213,구의(광진구청),577662,571114,2022-04-03 9:19
2022-03,2호선,214,강변(동서울터미널),731968,696774,2022-04-03 9:19
2022-03,2호선,215,잠실나루,327062,318112,2022-04-03 9:19
2022-03,2호선,216,잠실(송파구청),1637069,1607374,2022-04-03 9:19
2022-03,2호선,217,잠실새내,511937,514571,2022-04-03 9:19
2022-03,2호선,218,종합운동장,229333,245871,2022-04-03 9:19
2022-03,2호선,219,삼성(무역센터),1147582,1156046,2022-04-03 9:19
2022-03,2호선,220,선릉,1233762,1098371,2022-04-03 9:19
2022-03,2호선,221,역삼,1104068,1234172,2022-04-03 9:19
2022-03,2호선,222,강남,1954103,1921736,2022-04-03 9:19
2022-03,2호선,223,교대(법원.검찰청),767318,862234,2022-04-03 9:19
2022-03,2호선,224,서초,495257,472022,2022-04-03 9:19
2022-03,2호선,225,방배,439907,458368,2022-04-03 9:19
2022-03,2호선,226,사당,889604,978420,2022-04-03 9:19
2022-03,2호선,227,낙성대(강감찬),685710,669449,2022-04-03 9:19
2022-03,2호선,228,서울대입구(관악구청),1210148,1189389,2022-04-03 9:19
2022-03,2호선,229,봉천,584250,545967,2022-04-03 9:19
2022-03,2호선,230,신림,1597448,1550433,2022-04-03 9:19
2022-03,2호선,231,신대방,658846,643410,2022-04-03 9:19
2022-03,2호선,232,구로디지털단지,1375976,1372229,2022-04-03 9:19
2022-03,2호선,233,대림(구로구청),591295,609093,2022-04-03 9:19
2022-03,2호선,234,신도림,1154596,1164139,2022-04-03 9:19
2022-03,2호선,235,문래,502158,514641,2022-04-03 9:19
2022-03,2호선,236,영등포구청,528857,543839,2022-04-03 9:19
2022-03,2호선,237,당산,444602,508619,2022-04-03 9:19
2022-03,2호선,238,합정,773906,810915,2022-04-03 9:19
2022-03,2호선,239,홍대입구,1445423,1494768,2022-04-03 9:19
2022-03,2호선,240,신촌,850018,846884,2022-04-03 9:19
2022-03,2호선,241,이대,344651,366648,2022-04-03 9:19
2022-03,2호선,242,아현,256558,247146,2022-04-03 9:19
2022-03,2호선,243,충정로(경기대입구),229641,244303,2022-04-03 9:19
2022-03,2호선,244,용답,82988,87140,2022-04-03 9:19
2022-03,2호선,245,신답,39679,44788,2022-04-03 9:19
2022-03,2호선,246,신설동,90757,93282,2022-04-03 9:19
2022-03,2호선,247,도림천,33674,34999,2022-04-03 9:19
2022-03,2호선,248,양천구청,163183,169621,2022-04-03 9:19
2022-03,2호선,249,신정네거리,247655,255941,2022-04-03 9:19
2022-03,2호선,250,용두(동대문구청),59098,60307,2022-04-03 9:19
2022-03,3호선,309,지축,115341,109101,2022-04-03 9:19
2022-03,3호선,310,구파발,502358,487199,2022-04-03 9:19
2022-03,3호선,311,연신내,917178,871142,2022-04-03 9:19
2022-03,3호선,312,불광,403033,436973,2022-04-03 9:19
2022-03,3호선,313,녹번,376613,340772,2022-04-03 9:19
2022-03,3호선,314,홍제,433551,414938,2022-04-03 9:19
2022-03,3호선,315,무악재,93108,96072,2022-04-03 9:19
2022-03,3호선,316,독립문,175586,185274,2022-04-03 9:19
2022-03,3호선,317,경복궁(정부서울청사),502416,496020,2022-04-03 9:19
2022-03,3호선,318,안국,481613,502417,2022-04-03 9:19
2022-03,3호선,319,종로3가,235304,274028,2022-04-03 9:19
