연번,의료기관명,주소,전화번호
1,(사)장애우자활추진본부부설충남의원,(34626) 대전광역시 동구 대전로 822 (정동),042-226-9641
2,365연세홈닥터의원,(34401) 대전광역시 대덕구 동춘당로94번길 11-7 광혜빌딩 201호 (송촌동),042-636-0365
3,365열린연합의원,"(35379) 대전광역시 서구 관저동로 88 202호 (관저동, 관저빌딩)",042-273-2345
4,365최재혁가정의학과의원,(35368) 대전광역시 서구 계백로 1141 301호 (가수원동),042-544-1119
5,DS피부과의원,"(34017) 대전광역시 유성구 관평1로 15 (관평동, 더리치타운2층)",042-936-1675
6,DR.윤가정의학과의원,(34087) 대전광역시 유성구 은구비로 18 (지족동),042-477-3399
7,가라사대의원한의원,(34068) 대전광역시 유성구 반석로 16 반석크리닉빌딩 3층 2호 (반석동),042-826-7582
8,가수원이비인후과의원,"(35368) 대전광역시 서구 계백로 1161 304호 (가수원동, 유니온빌딩)",042-542-0245
9,가양동서연합의원,(34532) 대전광역시 동구 흥룡로 37 2층 (가양동),042-625-5055
10,가양마취통증의학과의원,(34534) 대전광역시 동구 우암로 273 4층 (가양동),
11,가양산부인과의원,(34534) 대전광역시 동구 우암로 273 (가양동),042-623-7766
12,가양성모의원,(34597) 대전광역시 동구 동대전로 233 (가양동),042-634-3548
13,가오아이소아청소년과의원,(34695) 대전광역시 동구 은어송로 60 3층 (가오동),042-286-1133
14,가오정형외과의원,"(34695) 대전광역시 동구 동구청로 95 4,5층 401,501호 (가오동)",042-271-9959
15,가오푸른정신건강의학과의원,"(34695) 대전광역시 동구 동구청로 95 2층 201호 (가오동, 예시티)",042-285-2700
16,가오플러스산부인과의원,"(34692) 대전광역시 동구 은어송로 63 5층,6층,7층,8층 (가오동)",042-286-9500
17,가인연합내과신경과의원,"(34171) 대전광역시 유성구 유성대로 770 3층, 5층 (장대동)",042-826-0063
18,가장성모내과의원,(35311) 대전광역시 서구 도산로 286 2층 (가장동),042-538-7575
19,갈마중앙의원,"(35281) 대전광역시 서구 신갈마로 133 2,3층 (갈마동)",042-532-5013
20,강남가정의학과의원,(35076) 대전광역시 중구 대종로 63 1층 (옥계동),042-271-7579
21,강남내과의원,(34318) 대전광역시 대덕구 대덕대로 1610 1층 (석봉동),042-719-7570
22,강남비뇨기과의원,"(35240) 대전광역시 서구 문예로 65 3층 (둔산동, 대광빌딩)",042-489-9922
23,강남의원,"(35241) 대전광역시 서구 둔산중로 50 405호 (둔산동, 파이낸스빌딩)",042-864-1800
24,강안과의원,(34177) 대전광역시 유성구 계룡로 50 (봉명동),042-823-8737
25,강재활의학과의원,(35402) 대전광역시 서구 계백로 1436 (도마동),042-581-8685
26,강종원정형외과의원,"(34815) 대전광역시 중구 동서대로 1403 1, 3층 (목동)",042-224-0007
27,강창규내과의원,(34009) 대전광역시 유성구 구즉로 46 (송강동),042-935-6799
28,강태영내과의원,(34317) 대전광역시 대덕구 대덕대로 1592 (석봉동),042-932-8501
29,갤러리성모정형외과의원,"(35230) 대전광역시 서구 대덕대로 203 미래빌딩 8,9층 (둔산동)",042-478-9300
30,갤러리성형외과의원,"(35230) 대전광역시 서구 둔산로 34 6층 (둔산동, 씨앤씨타워)",042-489-3377
31,건강미내과의원,(35235) 대전광역시 서구 둔산남로 46 3층 (둔산동),042-482-0944
32,건강한소화내과의원,(34086) 대전광역시 유성구 은구비남로33번길 29 홍송빌딩 2층 (지족동),042-348-7700
33,경성의원,(35265) 대전광역시 서구 대덕대로 150 3층 (갈마동),042-525-3928
34,경소아청소년과의원,"(34398) 대전광역시 대덕구 동춘당로 178 303호 (법동, 보람아파트 상가)",042-625-6513
35,경희성모연합의원,"(34551) 대전광역시 동구 동서대로 1689 대전복합터미널(서관) 5,6층 (용전동)",042-935-3777
36,계룡내과의원,(34959) 대전광역시 중구 서문로 133 2층 (문화동),042-525-9978
37,계룡재활의학과의원,(34917) 대전광역시 중구 대흥로 105 (대흥동),042-222-6500
38,고려내과의원,(34593) 대전광역시 동구 우암로 172 (성남동),042-626-3937
39,고려메디칼의원,"(34226) 대전광역시 유성구 진잠로149번길 24 2층 201,202호 (교촌동, 제이파크)",042-542-7570
40,고려신경정신과의원,(34832) 대전광역시 중구 대종로 504 2층 (은행동),042-254-6311
