연번,의료기관명,주소,전화번호
1,가톨릭병원,(35301) 대전광역시 서구 도산로 351 (용문동),042-537-0222
2,고운손병원,(35233) 대전광역시 서구 둔산서로 59 (8층),042-472-7445
3,국군대전병원,(34059) 대전광역시 유성구 자운로 90-0 (자운동),042-1688-9152
4,글로벌삼육오엠씨병원,"(35234) 대전광역시 서구 대덕대로 194-0 0동 (둔산동,백마빌딩(7~10층))",042-488-3653
5,글로벌튼튼병원,(34542) 대전광역시 동구 계족로 516 (용전동),042-220-2300
6,누리엘병원,(34552) 대전광역시 동구 동서대로 1641 (용전동),042-716-1221
7,다빈치병원,(35262) 대전광역시 서구 계룡로553번길 60 (탄방동),042-1566-9852
8,대전광역시립정신병원,(34206) 대전광역시 유성구 진잠옛로135번길 87 (학하동),042-823-9101
9,대전베스트정형외과병원,(35240) 대전광역시 서구 문예로 67 (둔산동),042-345-7700
10,대전본병원,"(34188) 대전광역시 유성구 계룡로 114-0 5~6층 (봉명동,대전유성BYC빌딩)",042-361-7575
11,대전센텀병원,(35209) 대전광역시 서구 청사로 234-0 (둔산동),042-481-0100
12,대전우리병원,(35262) 대전광역시 서구 문정로48번길 70 (탄방동),042-1577-0052
13,대전코젤병원,"(34223) 대전광역시 유성구 계백로 927-0 0동 (원내동,코젤랜드)",042-520-0000
14,더블유여성병원,(35262) 대전광역시 서구 문정로48번길 70 (탄방동),042-485-7777
15,마라톤정형외과병원,(35241) 대전광역시 서구 둔산남로 87-0 (둔산동),042-719-1199
16,마인드병원,(35233) 대전광역시 서구 대덕대로242번길 48 유니온빌딩,042-528-6550
17,미래여성병원,(35234) 대전광역시 서구 대덕대로176번길 15 (둔산동),042-471-7100
18,미즈여성병원,(35262) 대전광역시 서구 문정로2번길 95 (탄방동),042-483-3575
19,미즈제일여성병원,(34188) 대전광역시 유성구 계룡로 126 2~6층 (봉명동),042-821-0000
20,바로세움병원,(35241) 대전광역시 서구 둔산남로 107 (둔산동),042-489-8888
21,바른생각병원,(35220) 대전광역시 서구 청사로 128 (월평동),042-337-0001
22,밝은누리안과병원,(00000) 대전광역시 서구 둔산로 61-0 (둔산동),042-485-6644
23,베스티안우송병원,(34617) 대전광역시 동구 동대전로 39-0 베스티안우송병원,042-620-7575
24,봉키병원,(34188) 대전광역시 유성구 계룡로 120-0 (봉명동),042-1522-6705
25,비엔피병원,(34168) 대전광역시 유성구 계룡로 81 (봉명동),042-522-8275
26,사회복지법인 성신원 동대전정신병원,(34502) 대전광역시 동구 옥천로 315 (삼정동),042-272-8882
27,사회복지법인 성재원 성세병원,(34185) 대전광역시 유성구 온천북로33번길 21-32 (봉명동),042-820-1234
28,사회복지법인 성화 대전재활병원,(34185) 대전광역시 유성구 문화원로146번길 7-24 (봉명동),042-717-7575
29,사회복지법인천성원 대전한일병원,(34371) 대전광역시 대덕구 대화1길 2 (대화동),042-620-8114
30,사회복지법인천성원신탄진한일병원,(34332) 대전광역시 대덕구 신탄진로 623 (상서동),042-930-0300
31,사회복지법인한마음 한마음정신병원,(35428) 대전광역시 서구 삼보실길 123 (장안동),042-582-9700
32,새손병원,"(34908) 대전광역시 중구 계룡로 858-0 지하1층,3,4,5",042-535-1900
33,서울여성병원,(35235) 대전광역시 서구 문정로 7 (둔산동),042-488-8275
34,서울여성병원,(35235) 대전광역시 서구 문정로 7 (둔산동),042-488-8275
35,세우리병원,"(35229) 대전광역시 서구 둔산북로 36 3,4,5층 (둔산동)",042-478-8000
36,써지탑병원,"(35233) 대전광역시 서구 대덕대로 238 4,5,6층 (둔산동)",042-484-9898
37,에스앤케이병원,(35235) 대전광역시 서구 둔산남로 46-0 4~6층 (둔산동),042-476-9000
38,엠블병원,"(34195) 대전광역시 유성구 원신흥남로12번길 8-10 2~7층 (원신흥동,MBL빌딩)",042-1899-3275
39,연합정형외과병원,(35264) 대전광역시 서구 계룡로 619 (탄방동),042-536-0911
40,을지소아청소년과병원,"(34407) 대전광역시 대덕구 송촌북로 60-0 3~7층 (송촌동,을지소아크리닉)",042-605-0000
41,의료법인 대전미래의료재단 대전하나병원,(34964) 대전광역시 중구 계룡로 934 (대사동),042-224-7575
42,의료법인 리노의료재단 유성웰니스재활병원,(34187) 대전광역시 유성구 온천동로 3-0 유성웰니스병원,042-824-6900
43,의료법인 밝은마음의료재단 워크런병원,"(34186) 대전광역시 유성구 온천동로 43-0 본관지하1~3층,9층/신관2~3층",042-607-1234
44,의료법인 의명의료재단 대전병원,(34380) 대전광역시 대덕구 대전로 1215 1215,042-625-0700
45,의료법인 의명의료재단 마음편한병원,(34917) 대전광역시 중구 중교로 32 (대흥동),042-222-2921
46,의료법인삼영의료재단 둔산병원,(35230) 대전광역시 서구 대덕대로175번길 60 메르하우젠 2층,042-484-9300
47,의료법인성전의료재단 대전신생병원,(34206) 대전광역시 유성구 진잠옛로135번길 87 (학하동),042-823-4401~4
48,이안과병원,(34925) 대전광역시 중구 대종로 468 (대흥동),042-220-5500
49,조이병원,(35262) 대전광역시 서구 계룡로553번길 18 (탄방동),042-485-2235
50,참다남병원,(34916) 대전광역시 중구 보문로 254 (대흥동),042-222-0122
51,코젤병원,"(34189) 대전광역시 유성구 계룡로 150 6~7층 (봉명동,승호빌딩)",042-829-0000
52,킴벨피부과병원,(00000) 대전광역시 서구 대덕대로 238- 238,042-471-7575
53,탄방엠블병원,(35262) 대전광역시 서구 문정로48번길 70-0 (탄방동),042-1899-2955
54,탄탄병원,(35262) 대전광역시 서구 계룡로553번길 72-0 (탄방동),042-476-0001
55,허리사랑병원,(35299) 대전광역시 서구 계룡로 618 (괴정동),042-528-7588
