사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2022-03,1호선,0150,서울역,527,9,7877 ,5587 ,10214 ,32887 ,33049 ,76154 ,51901 ,162519 ,38945 ,97579 ,38098 ,51770 ,44216 ,43856 ,49494 ,47987 ,53094 ,47524 ,46486 ,43746 ,58705 ,48059 ,69960 ,48759 ,104829 ,58319 ,154574 ,63617 ,74238 ,41439 ,50648 ,27963 ,51920 ,23562 ,33549 ,17564 ,12282 ,10263 ,40,810,0,1,0,0,0,0,2022-04-03 09:20:04
2022-03,1호선,0151,시청,80,0,1651 ,4430 ,2627 ,17551 ,5925 ,54519 ,7783 ,152634 ,7644 ,65309 ,8913 ,28383 ,12923 ,27619 ,14627 ,25247 ,18553 ,24331 ,24487 ,19891 ,32541 ,15764 ,38157 ,14185 ,63472 ,15032 ,121746 ,15813 ,43230 ,9105 ,35970 ,5305 ,34519 ,3826 ,20066 ,2608 ,5979 ,2093 ,12,224,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,1호선,0152,종각,60,3,1958 ,3762 ,2703 ,20371 ,4885 ,79758 ,8610 ,185756 ,9597 ,99571 ,13531 ,45641 ,20302 ,40436 ,24527 ,36793 ,30244 ,37305 ,37568 ,32158 ,46955 ,27469 ,54849 ,27425 ,97879 ,29719 ,156132 ,33576 ,67006 ,17268 ,56214 ,7157 ,60603 ,4682 ,47896 ,3121 ,20771 ,2141 ,29,196,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,1호선,0153,종로3가,99,17,2591 ,2649 ,2584 ,11667 ,3926 ,22306 ,6868 ,63417 ,11081 ,59840 ,16614 ,49641 ,27670 ,50107 ,33430 ,51207 ,38629 ,50743 ,45176 ,45561 ,52822 ,37417 ,58831 ,31682 ,67257 ,27852 ,84253 ,27667 ,47937 ,13303 ,34523 ,6225 ,35445 ,4440 ,29999 ,3517 ,12585 ,3049 ,69,521,1,1,1,1,0,0,2022-04-03 09:20:04
2022-03,1호선,0154,종로5가,31,0,1384 ,3487 ,2283 ,13844 ,4425 ,38139 ,7087 ,89093 ,10092 ,54781 ,16185 ,44799 ,25031 ,45101 ,31762 ,44374 ,37352 ,41748 ,44242 ,39856 ,48752 ,33503 ,52572 ,27297 ,68794 ,22904 ,85532 ,20001 ,42978 ,11172 ,27316 ,5125 ,23438 ,4144 ,15859 ,2966 ,4518 ,1914 ,21,509,1,0,1,0,0,0,2022-04-03 09:20:04
2022-03,1호선,0155,동대문,843,16,11330 ,1789 ,8089 ,5810 ,13081 ,10892 ,16963 ,21041 ,15284 ,19382 ,13872 ,17755 ,15291 ,18590 ,18362 ,19180 ,19253 ,18475 ,20552 ,18354 ,21275 ,16877 ,21799 ,16031 ,22103 ,15804 ,20737 ,16686 ,14649 ,16904 ,11429 ,11269 ,10616 ,8915 ,9313 ,8259 ,3430 ,8196 ,20,1431 ,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,1호선,0156,신설동,285,8,7379 ,2393 ,7452 ,10201 ,15754 ,21456 ,22655 ,54975 ,15146 ,29557 ,13330 ,18708 ,15560 ,16430 ,17403 ,16689 ,19210 ,16806 ,18791 ,15783 ,21789 ,16390 ,28462 ,17153 ,35869 ,18964 ,50235 ,23201 ,18665 ,16505 ,12049 ,10538 ,10750 ,9893 ,8231 ,8873 ,3080 ,7353 ,38,1018 ,1,0,0,0,0,0,2022-04-03 09:20:04
2022-03,1호선,0157,제기동,217,5,4345 ,1805 ,7173 ,6868 ,18827 ,16302 ,26394 ,35824 ,18764 ,27655 ,21008 ,31389 ,28315 ,37739 ,34750 ,40649 ,36031 ,42600 ,38668 ,41367 ,42908 ,35489 ,40876 ,27416 ,38852 ,22209 ,34734 ,23388 ,15544 ,15702 ,9346 ,9901 ,7169 ,9073 ,4741 ,8410 ,1669 ,5903 ,36,657,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,1호선,0158,청량리(서울시립대입구),823,14,9401 ,4108 ,13084 ,21226 ,30796 ,14952 ,39251 ,29802 ,25254 ,26688 ,23681 ,30851 ,31111 ,35970 ,34353 ,36250 ,36487 ,40911 ,37716 ,41550 ,42076 ,39491 ,49805 ,34937 ,44821 ,34678 ,37316 ,40845 ,20103 ,25789 ,14315 ,15321 ,10460 ,14200 ,6905 ,12452 ,2354 ,7623 ,33,995,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,1호선,0159,동묘앞,131,0,2385 ,808,3044 ,3872 ,5339 ,8376 ,8359 ,19361 ,6913 ,14925 ,7622 ,16764 ,11711 ,22529 ,17309 ,25246 ,22208 ,28157 ,25759 ,26406 ,29439 ,22255 ,30042 ,15839 ,25973 ,11914 ,18542 ,8830 ,8024 ,6111 ,5126 ,4023 ,4330 ,3926 ,3484 ,4298 ,1125 ,3298 ,14,1711 ,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0201,시청,42,0,867,1338 ,1589 ,14301 ,4425 ,53247 ,6335 ,174165 ,7792 ,66827 ,10079 ,21310 ,15111 ,17661 ,14784 ,18186 ,18217 ,18483 ,23665 ,16433 ,28377 ,14013 ,33378 ,11526 ,68064 ,13596 ,138238 ,13871 ,45067 ,7529 ,31467 ,4320 ,29198 ,3330 ,17787 ,2864 ,5850 ,2390 ,3,261,1,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0202,을지로입구,130,61,1738 ,2100 ,2680 ,22709 ,7933 ,96162 ,13247 ,254112 ,13686 ,115203 ,15675 ,50773 ,22254 ,43203 ,27917 ,39139 ,35179 ,37544 ,40375 ,32476 ,49792 ,28305 ,58602 ,28954 ,115861 ,32536 ,206330 ,34588 ,81487 ,18997 ,72900 ,10631 ,46388 ,9763 ,32934 ,8927 ,10824 ,5684 ,6,3705 ,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0203,을지로3가,1,0,691,1432 ,1813 ,15656 ,4651 ,55848 ,9256 ,134705 ,9574 ,55700 ,10569 ,26133 ,14236 ,20413 ,16907 ,19379 ,18723 ,21462 ,21808 ,19451 ,24547 ,17620 ,31077 ,18052 ,65650 ,21240 ,109552 ,24034 ,43325 ,13063 ,29342 ,6359 ,31111 ,5204 ,30288 ,4474 ,14052 ,3773 ,1,277,0,1,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0204,을지로4가,4,1,825,1099 ,1681 ,12029 ,3251 ,29714 ,6622 ,70201 ,6657 ,35184 ,7564 ,19580 ,10980 ,17402 ,12587 ,16022 ,14658 ,15927 ,17122 ,14694 ,20360 ,13291 ,24780 ,11174 ,44453 ,10661 ,61198 ,10224 ,26528 ,5667 ,13472 ,3347 ,10680 ,2806 ,8102 ,2980 ,3047 ,2311 ,6,195,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0205,동대문역사문화공원(DDP),357,11,5485 ,1075 ,4231 ,7267 ,6149 ,20357 ,9278 ,43903 ,8707 ,27103 ,8895 ,22499 ,12138 ,22953 ,14191 ,22719 ,15221 ,22268 ,19364 ,22950 ,24878 ,20283 ,30395 ,18047 ,34970 ,18153 ,37609 ,19586 ,23556 ,19865 ,16705 ,12187 ,17122 ,9086 ,11693 ,7853 ,4457 ,7173 ,4,740,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0206,신당,27,1,5034 ,1155 ,9822 ,7784 ,23320 ,16609 ,38508 ,31329 ,22316 ,20539 ,15535 ,15825 ,15261 ,16257 ,17331 ,17339 ,18826 ,18179 ,18420 ,18894 ,20079 ,19747 ,23196 ,23105 ,26469 ,28715 ,29497 ,39901 ,19400 ,26297 ,14469 ,15907 ,12954 ,14712 ,10550 ,14039 ,4588 ,10445 ,3,284,0,0,1,1,0,0,2022-04-03 09:20:04
2022-03,2호선,0207,상왕십리,54,2,4954 ,517,11362 ,4331 ,34099 ,10788 ,54449 ,32591 ,29322 ,16556 ,18323 ,11953 ,15386 ,10610 ,17767 ,12833 ,17190 ,13647 ,15893 ,14855 ,16050 ,17304 ,17733 ,20526 ,21848 ,28032 ,24921 ,45337 ,16435 ,30506 ,11014 ,18917 ,8978 ,18230 ,6056 ,16453 ,2170 ,12333 ,4,125,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0208,왕십리(성동구청),756,1,6297 ,1012 ,9086 ,5663 ,22502 ,11777 ,39749 ,25631 ,23765 ,16620 ,16399 ,13451 ,16635 ,13802 ,19222 ,15542 ,20346 ,16889 ,20806 ,16630 ,23565 ,18523 ,29277 ,21907 ,32994 ,30969 ,34171 ,47255 ,22296 ,28871 ,20310 ,17224 ,23425 ,14960 ,27234 ,14751 ,13639 ,12960 ,10,260,0,1,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0209,한양대,6,1,815,188,2082 ,4959 ,4237 ,10661 ,7066 ,64264 ,5151 ,58091 ,7328 ,50731 ,12624 ,16160 ,17746 ,35908 ,17931 ,25844 ,24963 ,20499 ,31913 ,11784 ,42795 ,9306 ,52730 ,13717 ,36335 ,16274 ,17038 ,7054 ,15637 ,4901 ,17120 ,4382 ,10549 ,4227 ,4003 ,3798 ,2,50,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0210,뚝섬,5,0,2907 ,1613 ,7193 ,13080 ,16417 ,33102 ,22265 ,119808 ,14274 ,76066 ,12160 ,31914 ,12926 ,23034 ,15681 ,24665 ,18727 ,26722 ,21499 ,24188 ,26054 ,24898 ,33412 ,25815 ,54770 ,29017 ,108590 ,35848 ,52920 ,20481 ,33589 ,11477 ,30400 ,9480 ,21285 ,8996 ,7873 ,6722 ,3,207,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0211,성수,37,0,4757 ,3759 ,7755 ,28376 ,20619 ,70159 ,27215 ,242201 ,20406 ,129971 ,18229 ,47006 ,20316 ,36536 ,23546 ,38239 ,28042 ,42637 ,32321 ,41061 ,38972 ,39277 ,51466 ,41484 ,98724 ,44804 ,207597 ,52053 ,93464 ,29521 ,58035 ,14921 ,53361 ,11779 ,41208 ,11660 ,15411 ,11865 ,9,4396 ,0,2,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0212,건대입구,187,9,11588 ,1869 ,17800 ,19900 ,46078 ,24068 ,81389 ,57696 ,53434 ,45942 ,31618 ,36243 ,30335 ,37823 ,36897 ,44159 ,40476 ,52202 ,40504 ,52397 ,46282 ,57018 ,55689 ,69887 ,64871 ,98654 ,76963 ,133929 ,57040 ,87709 ,56550 ,49183 ,65402 ,44253 ,76456 ,37847 ,43655 ,27103 ,47,3496 ,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0213,구의(광진구청),27,0,11492 ,1017 ,22990 ,10312 ,59787 ,14367 ,99162 ,36625 ,57796 ,21308 ,29968 ,17657 ,25610 ,17182 ,27513 ,20521 ,26945 ,23092 ,24650 ,24083 ,24514 ,30793 ,28574 ,34912 ,30785 ,49991 ,39340 ,82504 ,20002 ,59426 ,14940 ,37341 ,13850 ,34674 ,13461 ,32710 ,6249 ,21250 ,6,1349 ,1,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0214,강변(동서울터미널),11,0,7299 ,1734 ,22866 ,16048 ,68515 ,19284 ,94530 ,37417 ,64119 ,29512 ,44165 ,27587 ,41068 ,26985 ,40384 ,31480 ,40287 ,34585 ,37149 ,36098 ,38466 ,42780 ,40625 ,47208 ,45527 ,62621 ,50751 ,91358 ,33478 ,64989 ,25331 ,40910 ,20126 ,33965 ,12534 ,32938 ,4731 ,18574 ,6,700,0,1,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0215,잠실나루,5,0,2567 ,1589 ,9244 ,9007 ,32799 ,19803 ,37800 ,32229 ,23211 ,19779 ,18408 ,14549 ,18595 ,12914 ,18217 ,15824 ,17071 ,17780 ,17801 ,15491 ,19807 ,15104 ,24134 ,16628 ,28988 ,21466 ,25553 ,33282 ,11913 ,24476 ,8256 ,14163 ,6181 ,13240 ,4681 ,12607 ,1827 ,7972 ,4,208,0,1,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0216,잠실(송파구청),88,4,9298 ,3996 ,39821 ,27326 ,100950 ,59203 ,139131 ,129970 ,100759 ,100814 ,63901 ,74547 ,63344 ,75949 ,71107 ,81149 ,76488 ,87497 ,78937 ,83764 ,88019 ,90465 ,105765 ,102712 ,135913 ,136069 ,163546 ,185300 ,109111 ,121085 ,109889 ,74020 ,91374 ,67485 ,70389 ,64116 ,19218 ,40331 ,21,1572 ,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0217,잠실새내,18,0,3695 ,749,13826 ,9146 ,45982 ,15759 ,60299 ,24888 ,37451 ,26428 ,24521 ,20136 ,23209 ,21105 ,25973 ,24170 ,26320 ,27657 ,24356 ,27186 ,27506 ,32058 ,29680 ,34943 ,31444 ,48272 ,34849 ,69170 ,25372 ,48328 ,22154 ,26271 ,21756 ,22161 ,22372 ,21213 ,11148 ,13883 ,6,1048 ,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0218,종합운동장,7,0,1276 ,886,4687 ,6170 ,13430 ,12688 ,18117 ,20950 ,13007 ,10376 ,9154 ,8567 ,8499 ,8030 ,10155 ,12268 ,11118 ,14087 ,11230 ,15835 ,13084 ,19148 ,15674 ,23431 ,15372 ,21972 ,16127 ,24274 ,9808 ,15118 ,15056 ,9517 ,25390 ,8619 ,16836 ,8457 ,1300 ,5006 ,6,471,0,1,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0219,삼성(무역센터),147,1,4185 ,4762 ,6152 ,34583 ,13249 ,110590 ,18071 ,271374 ,17707 ,188801 ,19219 ,77526 ,27404 ,56992 ,34249 ,53822 ,44097 ,61587 ,53818 ,50518 ,69911 ,44018 ,87294 ,41169 ,159388 ,43381 ,239230 ,46149 ,119530 ,26114 ,89813 ,13910 ,76106 ,11430 ,53552 ,9411 ,14458 ,6163 ,2,3744 ,0,1,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0220,선릉,56,3,3260 ,5752 ,9113 ,33702 ,17429 ,95885 ,27231 ,243807 ,25408 ,182066 ,28274 ,81289 ,35611 ,53099 ,43366 ,48502 ,51260 ,54436 ,60330 ,46024 ,78348 ,40889 ,101140 ,38821 ,153171 ,44091 ,248048 ,47499 ,120457 ,27648 ,74302 ,16580 ,71890 ,14692 ,63708 ,13438 ,21353 ,9665 ,7,483,0,0,0,0,0,0,2022-04-03 09:20:04
2022-03,2호선,0221,역삼,26,3,2923 ,6671 ,7390 ,32422 ,13094 ,112537 ,22521 ,297979 ,19519 ,246040 ,20485 ,97893 ,27214 ,53159 ,33753 ,47769 ,40029 ,54259 ,47291 ,43887 ,62067 ,38965 ,77341 ,36017 ,157503 ,40813 ,240020 ,46450 ,126632 ,27905 ,71363 ,16750 ,67142 ,13811 ,50109 ,11639 ,17639 ,9101 ,7,102,0,0,0,0,0,0,2022-04-03 09:20:04
