0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
행정구역,2022년03월_계_총인구수,2022년03월_계_연령구간인구수,2022년03월_계_0~9세,2022년03월_계_10~19세,2022년03월_계_20~29세,2022년03월_계_30~39세,2022년03월_계_40~49세,2022년03월_계_50~59세,2022년03월_계_60~69세,2022년03월_계_70~79세,2022년03월_계_80~89세,2022년03월_계_90~99세,2022년03월_계_100세 이상,2022년03월_남_총인구수,2022년03월_남_연령구간인구수,2022년03월_남_0~9세,2022년03월_남_10~19세,2022년03월_남_20~29세,2022년03월_남_30~39세,2022년03월_남_40~49세,2022년03월_남_50~59세,2022년03월_남_60~69세,2022년03월_남_70~79세,2022년03월_남_80~89세,2022년03월_남_90~99세,2022년03월_남_100세 이상,2022년03월_여_총인구수,2022년03월_여_연령구간인구수,2022년03월_여_0~9세,2022년03월_여_10~19세,2022년03월_여_20~29세,2022년03월_여_30~39세,2022년03월_여_40~49세,2022년03월_여_50~59세,2022년03월_여_60~69세,2022년03월_여_70~79세,2022년03월_여_80~89세,2022년03월_여_90~99세,2022년03월_여_100세 이상
서울특별시  (1100000000),9506778 ,9506778 ,573171 ,756603 ,1417972 ,1432792 ,1476373 ,1506625 ,1292489 ,702235 ,304225 ,42582 ,1711 ,4613910 ,4613910 ,294138 ,387494 ,681079 ,715825 ,730657 ,742571 ,610536 ,319327 ,120916 ,10955 ,412 ,4892868 ,4892868 ,279033 ,369109 ,736893 ,716967 ,745716 ,764054 ,681953 ,382908 ,183309 ,31627 ,1299 
서울특별시 종로구 (1111000000),144275 ,144275 ,6824 ,10379 ,22749 ,19354 ,20718 ,24880 ,20450 ,11652 ,6281 ,950 ,38 ,69911 ,69911 ,3446 ,5135 ,10914 ,9658 ,10002 ,12475 ,10254 ,5189 ,2532 ,294 ,12 ,74364 ,74364 ,3378 ,5244 ,11835 ,9696 ,10716 ,12405 ,10196 ,6463 ,3749 ,656 ,26 
서울특별시 중구 (1114000000),122173 ,122173 ,6113 ,6537 ,18158 ,19820 ,17280 ,19936 ,18045 ,10289 ,5122 ,843 ,30 ,59448 ,59448 ,3141 ,3250 ,8392 ,9905 ,8842 ,10126 ,8993 ,4668 ,1894 ,225 ,12 ,62725 ,62725 ,2972 ,3287 ,9766 ,9915 ,8438 ,9810 ,9052 ,5621 ,3228 ,618 ,18 
서울특별시 용산구 (1117000000),222169 ,222169 ,12454 ,14589 ,32389 ,37648 ,33487 ,35994 ,29360 ,15964 ,8751 ,1456 ,77 ,106735 ,106735 ,6389 ,7382 ,15185 ,18649 ,16493 ,17713 ,14197 ,6978 ,3293 ,435 ,21 ,115434 ,115434 ,6065 ,7207 ,17204 ,18999 ,16994 ,18281 ,15163 ,8986 ,5458 ,1021 ,56 
서울특별시 성동구 (1120000000),285073 ,285073 ,18898 ,19068 ,43051 ,46395 ,43079 ,45889 ,38046 ,20187 ,9236 ,1173 ,51 ,138847 ,138847 ,9648 ,9460 ,21196 ,22754 ,21623 ,22698 ,18639 ,8992 ,3512 ,308 ,17 ,146226 ,146226 ,9250 ,9608 ,21855 ,23641 ,21456 ,23191 ,19407 ,11195 ,5724 ,865 ,34 
서울특별시 광진구 (1121500000),340707 ,340707 ,17510 ,24773 ,61762 ,54736 ,50346 ,53851 ,44471 ,22147 ,9778 ,1278 ,55 ,164346 ,164346 ,8981 ,12522 ,28986 ,27173 ,24775 ,26340 ,21178 ,10144 ,3891 ,341 ,15 ,176361 ,176361 ,8529 ,12251 ,32776 ,27563 ,25571 ,27511 ,23293 ,12003 ,5887 ,937 ,40 
서울특별시 동대문구 (1123000000),337982 ,337982 ,19277 ,23163 ,56611 ,48661 ,48939 ,52097 ,47728 ,27463 ,12463 ,1513 ,67 ,166823 ,166823 ,9870 ,11682 ,27639 ,25050 ,25230 ,26401 ,23195 ,12382 ,4953 ,404 ,17 ,171159 ,171159 ,9407 ,11481 ,28972 ,23611 ,23709 ,25696 ,24533 ,15081 ,7510 ,1109 ,50 
서울특별시 중랑구 (1126000000),389043 ,389043 ,21315 ,25306 ,54227 ,57667 ,55800 ,67138 ,61237 ,31448 ,13221 ,1617 ,67 ,191835 ,191835 ,10949 ,12869 ,26529 ,29675 ,28907 ,33207 ,29689 ,14365 ,5259 ,367 ,19 ,197208 ,197208 ,10366 ,12437 ,27698 ,27992 ,26893 ,33931 ,31548 ,17083 ,7962 ,1250 ,48 
서울특별시 성북구 (1129000000),433150 ,433150 ,27146 ,36639 ,65936 ,58397 ,67516 ,69860 ,57218 ,32666 ,15622 ,2078 ,72 ,208691 ,208691 ,13860 ,18587 ,31573 ,29195 ,33176 ,34491 ,26889 ,14195 ,6188 ,523 ,14 ,224459 ,224459 ,13286 ,18052 ,34363 ,29202 ,34340 ,35369 ,30329 ,18471 ,9434 ,1555 ,58 
