사용월,호선명,역ID,지하철역,승차승객수,하차승객수,작업일시
2022-03,1호선,0150,서울역,"984,646","949,974",2022-04-03 09:19:56
2022-03,1호선,0151,시청,"500,905","503,869",2022-04-03 09:19:56
2022-03,1호선,0152,종각,"762,319","734,308",2022-04-03 09:19:56
2022-03,1호선,0153,종로3가,"612,391","562,830",2022-04-03 09:19:56
2022-03,1호선,0154,종로5가,"549,656","544,757",2022-04-03 09:19:56
2022-03,1호선,0155,동대문,"288,291","271,656",2022-04-03 09:19:56
2022-03,1호선,0156,신설동,"342,134","332,894",2022-04-03 09:19:56
2022-03,1호선,0157,제기동,"430,367","440,351",2022-04-03 09:19:56
2022-03,1호선,0158,청량리(서울시립대입구),"510,145","508,653",2022-04-03 09:19:56
2022-03,1호선,0159,동묘앞,"236,879","248,649",2022-04-03 09:19:56
2022-03,2호선,0201,시청,"500,336","475,651",2022-04-03 09:19:56
2022-03,2호선,0202,을지로입구,"855,938","875,572",2022-04-03 09:19:56
2022-03,2호선,0203,을지로3가,"487,174","484,276",2022-04-03 09:19:56
2022-03,2호선,0204,을지로4가,"294,577","294,509",2022-04-03 09:19:56
2022-03,2호선,0205,동대문역사문화공원(DDP),"305,405","346,078",2022-04-03 09:19:56
2022-03,2호선,0206,신당,"345,606","357,064",2022-04-03 09:19:56
2022-03,2호선,0207,상왕십리,"344,008","336,446",2022-04-03 09:19:56
2022-03,2호선,0208,왕십리(성동구청),"422,484","344,699",2022-04-03 09:19:56
2022-03,2호선,0209,한양대,"328,071","362,799",2022-04-03 09:19:56
2022-03,2호선,0210,뚝섬,"512,950","547,133",2022-04-03 09:19:56
2022-03,2호선,0211,성수,"861,490","941,707",2022-04-03 09:19:56
2022-03,2호선,0212,건대입구,"933,261","981,387",2022-04-03 09:19:56
2022-03,2호선,0213,구의(광진구청),"577,662","571,114",2022-04-03 09:19:56
2022-03,2호선,0214,강변(동서울터미널),"731,968","696,774",2022-04-03 09:19:56
2022-03,2호선,0215,잠실나루,"327,062","318,112",2022-04-03 09:19:56
2022-03,2호선,0216,잠실(송파구청),"1,637,069","1,607,374",2022-04-03 09:19:56
2022-03,2호선,0217,잠실새내,"511,937","514,571",2022-04-03 09:19:56
2022-03,2호선,0218,종합운동장,"229,333","245,871",2022-04-03 09:19:56
2022-03,2호선,0219,삼성(무역센터),"1,147,582","1,156,046",2022-04-03 09:19:56
2022-03,2호선,0220,선릉,"1,233,762","1,098,371",2022-04-03 09:19:56
2022-03,2호선,0221,역삼,"1,104,068","1,234,172",2022-04-03 09:19:56
2022-03,2호선,0222,강남,"1,954,103","1,921,736",2022-04-03 09:19:56
2022-03,2호선,0223,교대(법원.검찰청),"767,318","862,234",2022-04-03 09:19:56
2022-03,2호선,0224,서초,"495,257","472,022",2022-04-03 09:19:56
2022-03,2호선,0225,방배,"439,907","458,368",2022-04-03 09:19:56
2022-03,2호선,0226,사당,"889,604","978,420",2022-04-03 09:19:56
2022-03,2호선,0227,낙성대(강감찬),"685,710","669,449",2022-04-03 09:19:56
2022-03,2호선,0228,서울대입구(관악구청),"1,210,148","1,189,389",2022-04-03 09:19:56
2022-03,2호선,0229,봉천,"584,250","545,967",2022-04-03 09:19:56
2022-03,2호선,0230,신림,"1,597,448","1,550,433",2022-04-03 09:19:56
2022-03,2호선,0231,신대방,"658,846","643,410",2022-04-03 09:19:56
2022-03,2호선,0232,구로디지털단지,"1,375,976","1,372,229",2022-04-03 09:19:56
2022-03,2호선,0233,대림(구로구청),"591,295","609,093",2022-04-03 09:19:56
2022-03,2호선,0234,신도림,"1,154,596","1,164,139",2022-04-03 09:19:56
2022-03,2호선,0235,문래,"502,158","514,641",2022-04-03 09:19:56
2022-03,2호선,0236,영등포구청,"528,857","543,839",2022-04-03 09:19:56
2022-03,2호선,0237,당산,"444,602","508,619",2022-04-03 09:19:56
2022-03,2호선,0238,합정,"773,906","810,915",2022-04-03 09:19:56
2022-03,2호선,0239,홍대입구,"1,445,423","1,494,768",2022-04-03 09:19:56
2022-03,2호선,0240,신촌,"850,018","846,884",2022-04-03 09:19:56
2022-03,2호선,0241,이대,"344,651","366,648",2022-04-03 09:19:56
2022-03,2호선,0242,아현,"256,558","247,146",2022-04-03 09:19:56
2022-03,2호선,0243,충정로(경기대입구),"229,641","244,303",2022-04-03 09:19:56
2022-03,2호선,0244,용답,"82,988","87,140",2022-04-03 09:19:56
2022-03,2호선,0245,신답,"39,679","44,788",2022-04-03 09:19:56
2022-03,2호선,0246,신설동,"90,757","93,282",2022-04-03 09:19:56
2022-03,2호선,0247,도림천,"33,674","34,999",2022-04-03 09:19:56
2022-03,2호선,0248,양천구청,"163,183","169,621",2022-04-03 09:19:56
2022-03,2호선,0249,신정네거리,"247,655","255,941",2022-04-03 09:19:56
2022-03,2호선,0250,용두(동대문구청),"59,098","60,307",2022-04-03 09:19:56
2022-03,3호선,0309,지축,"115,341","109,101",2022-04-03 09:19:56
2022-03,3호선,0310,구파발,"502,358","487,199",2022-04-03 09:19:56
2022-03,3호선,0311,연신내,"917,178","871,142",2022-04-03 09:19:56
2022-03,3호선,0312,불광,"403,033","436,973",2022-04-03 09:19:56
2022-03,3호선,0313,녹번,"376,613","340,772",2022-04-03 09:19:56
2022-03,3호선,0314,홍제,"433,551","414,938",2022-04-03 09:19:56
2022-03,3호선,0315,무악재,"93,108","96,072",2022-04-03 09:19:56
2022-03,3호선,0316,독립문,"175,586","185,274",2022-04-03 09:19:56
2022-03,3호선,0317,경복궁(정부서울청사),"502,416","496,020",2022-04-03 09:19:56
2022-03,3호선,0318,안국,"481,613","502,417",2022-04-03 09:19:56
2022-03,3호선,0319,종로3가,"235,304","274,028",2022-04-03 09:19:56
2022-03,3호선,0320,을지로3가,"230,551","233,561",2022-04-03 09:19:56
2022-03,3호선,0321,충무로,33,0,2022-04-03 09:19:56
2022-03,3호선,0322,동대입구,"213,120","231,092",2022-04-03 09:19:56
2022-03,3호선,0323,약수,"313,739","306,072",2022-04-03 09:19:56
2022-03,3호선,0324,금호,"191,500","181,686",2022-04-03 09:19:56
2022-03,3호선,0325,옥수,"212,618","222,603",2022-04-03 09:19:56
2022-03,3호선,0326,압구정,"750,213","796,435",2022-04-03 09:19:56
2022-03,3호선,0327,신사,"748,938","776,189",2022-04-03 09:19:56
2022-03,3호선,0328,잠원,"114,257","112,033",2022-04-03 09:19:56
2022-03,3호선,0329,고속터미널,"1,033,180","1,003,510",2022-04-03 09:19:56
2022-03,3호선,0330,교대(법원.검찰청),"321,691","208,151",2022-04-03 09:19:56
2022-03,3호선,0331,남부터미널(예술의전당),"681,492","693,667",2022-04-03 09:19:56
2022-03,3호선,0332,양재(서초구청),"872,642","946,105",2022-04-03 09:19:56
2022-03,3호선,0333,매봉,"277,276","265,470",2022-04-03 09:19:56
2022-03,3호선,0334,도곡,"123,411","127,395",2022-04-03 09:19:56
2022-03,3호선,0335,대치,"274,022","270,558",2022-04-03 09:19:56
2022-03,3호선,0336,학여울,"61,132","64,661",2022-04-03 09:19:56
2022-03,3호선,0337,대청,"238,836","220,877",2022-04-03 09:19:56
2022-03,3호선,0338,일원,"235,418","228,126",2022-04-03 09:19:56
2022-03,3호선,0339,수서,"413,032","419,617",2022-04-03 09:19:56
2022-03,3호선,0340,가락시장,"211,795","207,521",2022-04-03 09:19:56
2022-03,3호선,0341,경찰병원,"168,613","168,591",2022-04-03 09:19:56
2022-03,3호선,0342,오금,"145,028","134,183",2022-04-03 09:19:56
2022-03,4호선,0409,당고개,"289,612","268,558",2022-04-03 09:19:56
2022-03,4호선,0410,상계,"475,128","443,739",2022-04-03 09:19:56
2022-03,4호선,0411,노원,"475,866","532,042",2022-04-03 09:19:56
2022-03,4호선,0412,창동,"644,754","681,729",2022-04-03 09:19:56
2022-03,4호선,0413,쌍문,"723,052","667,733",2022-04-03 09:19:56
2022-03,4호선,0414,수유(강북구청),"857,450","854,977",2022-04-03 09:19:56
2022-03,4호선,0415,미아(서울사이버대학),"380,852","371,422",2022-04-03 09:19:56
2022-03,4호선,0416,미아사거리,"684,932","666,299",2022-04-03 09:19:56
2022-03,4호선,0417,길음,"505,424","502,044",2022-04-03 09:19:56
2022-03,4호선,0418,성신여대입구(돈암),"529,251","507,125",2022-04-03 09:19:56
2022-03,4호선,0419,한성대입구(삼선교),"343,371","337,375",2022-04-03 09:19:56
2022-03,4호선,0420,혜화,"809,650","807,970",2022-04-03 09:19:56
2022-03,4호선,0421,동대문,"465,903","481,509",2022-04-03 09:19:56
